Name	NEW NAME	clade	Long	Lat
T1946	T1946 - Nilo FR		38.662528	-4.940944
T1947	T1948 - Mlinga FR	sylvaticus north	38.747806	-5.059417
T1948	T1948 - Mlinga FR	sylvaticus north	38.747806	-5.059417
T1951	T1951 - Kazimzumbwi FR	delicatus_central	39.040278	-6.944556
T2116	"T2116 - Pond behind Chawani Bungalow, Malawi"	fornasini_south	35.0638	-16
T2121	"T2124 - Thyolo, Malawi"	xenodactyloides	35.0638	-16.0769
T2122	"T2125 - Thyolo, Malawi"	xenodactyloides	35.0638	-16.0769
T2346	T2346 - Kimboza forest	sylvaticus_other	37.802128	-7.002231
T2350	T2350 - Kimboza forest	sylvaticus_other	37.802128	-7.002231
T2416	T2416 - Udzungwa Scarp	stridens_other	35.89458853	-8.527924487
T2426	T2426 - Nguru	stridens_other	37.52564221	-6.030439362
T2428	T2428 - Nguru		35.89458853	-8.527924487
T2443	"T2443 - Kimboza Forest, Uluguru"	stridens_other	37.802128	-7.002231
T2480	"T2480 - Tanzania, Kazimzumbwi FR, Pwani "	flavomaculatus_north	39.040278	-6.944556
T2495	T2495 - Nguu	stridens_other	37.471619	-5.539355
T2641	"T2641 - Tanzania, Nguu Mountains"	flavomaculatus_central	37.471619	-5.539355
T2688	T2688 - Ukaguru	stridens_other	36.940432	-6.594853
T2718	T2718 - W Usambara	stridens_north	38.270187	-4.714649
T2719	T2719 - W Usambara	stridens_north	38.270187	-4.714649
T2729	"T2729 - Tanga, Mafi Hill"	stridens_north	38.140926	-4.923429
T2730	"T2730 - Tanga, Mafi Hill"	stridens_north	38.140926	-4.923429
T2979	"T2979 - Tanzania, Makangala FR, Lindi"	flavomaculatus_south	39.38803	-9.99418
T2980	"T2980 - Makangala FR, Lindi, Tanzania"	sylvaticus_other	39.38803	-9.99418
T2981	"T2981 - Makangala FR, Lindi, Tanzania"	sylvaticus_other	39.38803	-9.99418
T3009	"T3009 - Tanzania, Makangala FR, Lindi"	flavomaculatus_south	39.38803	-9.99418
