Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2, T3)
ancmig_1	Round_1_Replicate_1	-822.49	1664.98	15486.09	36.02	1.4327,0.6762,2.0853,2.487,0.285,2.8134,1.5381,3.3373,2.0472,0.1831
ancmig_1	Round_1_Replicate_2	-981.15	1982.3	10950.46	95.41	1.172,0.2678,0.289,0.3181,1.424,1.0963,0.5437,0.8807,0.6363,0.2788
ancmig_1	Round_1_Replicate_3	-1388.38	2796.76	615127.54	27.68	1.2769,0.1334,7.3991,1.0693,0.5338,1.2723,0.1848,0.6738,0.4646,2.8218
ancmig_1	Round_1_Replicate_4	-1781.81	3583.62	403669.59	68.51	0.1704,6.8577,0.7507,2.1848,0.5484,0.3818,3.3138,0.1929,1.3982,0.6133
ancmig_1	Round_1_Replicate_5	-832.4	1684.8	26787.77	41.21	1.5404,0.153,2.2691,0.7042,2.6457,4.1273,0.1454,0.5548,3.362,0.192
ancmig_1	Round_2_Replicate_1	-782.75	1585.5	8354.27	27.82	2.184,1.5032,5.4246,0.752,0.9313,3.0463,1.3318,3.2099,3.329,0.3844
ancmig_1	Round_2_Replicate_2	-899.21	1818.42	32566.73	45.83	0.8096,0.3784,6.5337,0.715,1.0009,5.8112,0.6821,1.366,2.0611,0.1326
ancmig_1	Round_2_Replicate_3	-982.12	1984.24	2634.0	34.2	0.8993,1.7669,1.2152,6.7562,0.4664,4.0625,0.5983,13.1654,1.3945,0.2537
ancmig_1	Round_2_Replicate_4	-986.35	1992.7	2921.7	49.48	0.5177,0.4968,1.4259,1.9057,0.0779,10.3514,5.5614,7.0213,1.8647,0.2151
ancmig_1	Round_2_Replicate_5	-900.9	1821.8	416748.92	15.84	3.0765,0.6176,7.4957,3.9975,0.6555,1.3272,0.6002,8.426,6.6116,0.2179
ancmig_1	Round_2_Replicate_6	-828.94	1677.88	1291090.33	34.82	1.9682,0.7646,4.3289,2.3223,0.7518,6.9464,1.0897,1.0743,1.2241,0.2029
ancmig_1	Round_2_Replicate_7	-863.76	1747.52	2169.39	45.03	0.9384,1.7474,1.2972,2.8293,0.2616,4.9147,1.8259,0.9694,1.5942,0.4525
ancmig_1	Round_3_Replicate_1	-764.37	1548.74	9416.07	21.46	3.727,2.5675,7.3765,0.7332,0.9901,1.7411,1.592,4.5603,2.6908,0.5703
ancmig_1	Round_3_Replicate_2	-778.81	1577.62	1625.25	33.24	1.4057,0.8069,3.0523,0.9958,0.8666,2.4718,0.9718,2.9808,4.767,0.391
ancmig_1	Round_3_Replicate_3	-825.93	1671.86	7436.22	28.78	2.3032,2.8627,3.6239,0.446,0.5611,1.626,1.0326,5.785,4.5529,0.2557
ancmig_1	Round_3_Replicate_4	-845.84	1711.68	8122.92	29.56	2.2393,1.4579,3.5153,0.4021,1.6669,1.7399,0.7509,2.6914,6.8319,0.2742
ancmig_1	Round_3_Replicate_5	-759.52	1539.04	3140.59	26.91	2.3009,0.9256,6.2178,0.7727,0.656,1.5611,1.3419,2.3177,3.3661,0.5194
ancmig_1	Round_3_Replicate_6	-916.28	1852.56	3638.04	27.41	1.2604,2.6609,8.2263,0.7551,1.1297,4.8528,0.8069,2.5213,4.9567,0.5853
ancmig_1	Round_3_Replicate_7	-904.7	1829.4	4633.93	38.58	1.0946,1.4773,5.1077,0.3784,1.5624,2.4707,1.1402,3.9725,2.6012,0.3267
ancmig_1	Round_3_Replicate_8	-695.22	1410.44	2195.01	27.92	3.2999,1.654,2.9113,0.9562,0.6359,3.811,1.6588,2.8929,2.3593,0.6909
ancmig_1	Round_3_Replicate_9	-756.91	1533.82	178087.77	27.96	3.1851,1.9895,3.264,0.9623,1.6789,6.2076,0.7072,2.0413,2.6597,0.3178
ancmig_1	Round_3_Replicate_10	-762.02	1544.04	2420.8	27.03	1.9484,1.5928,5.0203,1.1238,1.2369,2.5935,1.8578,4.1781,3.3041,0.4667
