Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2)
refugia_2	Round_1_Replicate_1	-1122.5	2261.0	5391575.24	128.63	0.3157,0.1319,4.9781,2.6328,0.7616,0.1261,0.2747,0.1442
refugia_2	Round_1_Replicate_2	-1259.44	2534.88	145833.75	46.65	0.2788,0.4696,3.3749,1.186,1.2047,2.4903,0.2092,6.2056
refugia_2	Round_1_Replicate_3	-1736.97	3489.94	2182866.86	29.27	0.1943,1.213,3.0459,2.5453,0.1812,2.4218,8.1922,3.4112
refugia_2	Round_1_Replicate_4	-968.45	1952.9	6279.08	67.45	0.8242,0.2876,0.1865,3.8505,0.7104,2.7139,0.2443,5.4228
refugia_2	Round_1_Replicate_5	-991.63	1999.26	60391.08	108.45	0.4942,1.4446,0.1745,5.7477,0.5068,5.1707,0.1786,0.2868
refugia_2	Round_2_Replicate_1	-1269.45	2554.9	10498.03	106.77	0.269,0.1503,0.0914,9.2787,0.351,6.4876,0.666,12.6571
refugia_2	Round_2_Replicate_2	-992.77	2001.54	3550938.07	62.82	2.3678,0.3506,0.1693,10.1244,0.9524,8.8196,0.3092,1.733
refugia_2	Round_2_Replicate_3	-1047.5	2111.0	3162.12	118.22	0.4204,0.1237,0.088,1.0084,0.6195,2.9285,0.1592,9.0147
refugia_2	Round_2_Replicate_4	-1188.32	2392.64	4896.4	64.77	0.4557,0.1422,0.1541,7.494,0.363,1.9228,0.9127,5.1742
refugia_2	Round_2_Replicate_5	-1159.79	2335.58	3507.64	60.85	0.4036,0.375,0.2639,2.5602,0.4035,0.8489,0.1054,6.3437
refugia_2	Round_2_Replicate_6	-1303.33	2622.66	8810.88	56.33	0.3144,0.4882,0.4875,1.7121,0.2054,2.2387,0.2328,11.3572
refugia_2	Round_2_Replicate_7	-998.47	2012.94	2000390.24	54.84	1.5204,0.2651,0.2355,9.1332,0.8986,5.13,0.1126,5.5731
refugia_2	Round_3_Replicate_1	-964.07	1944.14	49913.56	60.33	1.5485,0.3184,0.1551,3.2688,0.796,3.3901,0.1248,10.8014
refugia_2	Round_3_Replicate_2	-974.03	1964.06	12545.08	84.51	0.5863,0.2347,0.1934,2.3538,1.2861,3.6792,0.211,10.0003
refugia_2	Round_3_Replicate_3	-995.22	2006.44	22234.49	64.63	0.7775,0.2842,0.2478,5.5916,1.2923,2.3071,0.1589,2.9794
refugia_2	Round_3_Replicate_4	-1126.48	2268.96	9022.59	66.92	0.4583,0.2102,0.2334,5.9006,0.3633,3.3894,0.2201,6.3495
refugia_2	Round_3_Replicate_5	-1070.22	2156.44	4605.66	73.03	0.5793,0.4129,0.1393,7.0524,0.4709,3.1017,0.2008,7.1411
refugia_2	Round_3_Replicate_6	-1098.16	2212.32	11111.25	78.94	0.4645,0.3832,0.199,2.6874,0.3902,4.714,0.4543,9.6331
refugia_2	Round_3_Replicate_7	-1059.12	2134.24	3991.14	53.54	1.1098,0.1766,0.131,5.5345,0.3609,1.8366,0.1201,10.2805
refugia_2	Round_3_Replicate_8	-1000.78	2017.56	74964.86	60.6	0.7817,0.4336,0.3188,3.3654,0.4794,4.3525,0.121,5.7969
refugia_2	Round_3_Replicate_9	-1059.29	2134.58	3784.45	73.58	0.5435,0.2592,0.1489,5.3984,0.6352,2.533,0.3261,6.6693
