Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, T1)
sim_split_no_mig	Round_1_Replicate_1	-852.06	1712.12	1811668.39	77.94	4.7198,0.7604,1.0288,0.251
sim_split_no_mig	Round_1_Replicate_2	-738.08	1484.16	2228.75	118.22	0.9562,0.4351,0.3539,0.2047
sim_split_no_mig	Round_1_Replicate_3	-1031.95	2071.9	46841300.62	81.48	2.5795,0.9004,3.9617,0.217
sim_split_no_mig	Round_1_Replicate_4	-2559.37	5126.74	29732416124.3	32.59	3.3677,0.4265,1.1011,5.1938
sim_split_no_mig	Round_1_Replicate_5	-1140.24	2288.48	403088.97	29.75	5.563,3.8842,0.366,2.086
sim_split_no_mig	Round_2_Replicate_1	-771.99	1551.98	3875.04	134.96	0.8418,0.3172,0.213,0.1266
sim_split_no_mig	Round_2_Replicate_2	-828.66	1665.32	1574.1	134.91	0.3261,0.5754,0.4589,0.1586
sim_split_no_mig	Round_2_Replicate_3	-984.52	1977.04	3548.3	151.05	0.2974,0.1985,0.7176,0.118
sim_split_no_mig	Round_2_Replicate_4	-777.71	1563.42	81812.35	97.64	2.9533,0.7516,0.2073,0.1829
sim_split_no_mig	Round_2_Replicate_5	-1015.52	2039.04	15763.59	79.89	2.2972,0.2904,0.5564,0.607
sim_split_no_mig	Round_2_Replicate_6	-973.32	1954.64	23224.9	75.45	3.259,0.2866,1.0569,0.4352
sim_split_no_mig	Round_2_Replicate_7	-749.8	1507.6	2083.35	108.68	0.6252,1.5304,0.271,0.2003
sim_split_no_mig	Round_3_Replicate_1	-779.2	1566.4	6272.33	125.98	1.2499,0.3153,0.21,0.1366
sim_split_no_mig	Round_3_Replicate_2	-710.28	1428.56	2667.44	113.83	0.9366,0.7251,0.2751,0.1959
sim_split_no_mig	Round_3_Replicate_3	-771.43	1550.86	3365.33	128.42	0.7307,0.3672,0.406,0.1558
sim_split_no_mig	Round_3_Replicate_4	-749.13	1506.26	1546.7	119.47	0.6704,0.587,0.3032,0.2606
sim_split_no_mig	Round_3_Replicate_5	-845.3	1698.6	3631.91	109.04	1.2305,0.2873,0.439,0.3144
sim_split_no_mig	Round_3_Replicate_6	-739.13	1486.26	1629.46	111.15	0.6402,0.7822,0.5864,0.2272
sim_split_no_mig	Round_3_Replicate_7	-726.14	1460.28	1595.86	116.83	0.64,0.7835,0.386,0.1981
sim_split_no_mig	Round_3_Replicate_8	-740.29	1488.58	5668.68	110.72	0.877,0.6548,0.6235,0.191
sim_split_no_mig	Round_3_Replicate_9	-772.59	1553.18	1556.85	128.09	0.5144,0.6562,0.2171,0.2199
sim_split_no_mig	Round_3_Replicate_10	-830.51	1669.02	2900.85	113.86	0.9539,0.3085,0.5098,0.2974
