Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, m3, T1)
sim_split_sym_mig_all	Round_1_Replicate_1	-1083.03	2180.06	279456689.2	82.32	1.5383,1.6065,0.1432,1.8742,1.2638,4.6914,0.8659
sim_split_sym_mig_all	Round_1_Replicate_2	-1588.83	3191.66	5.37737515073e+12	53.65	2.1721,3.1207,5.5308,7.1922,1.4945,2.6938,0.4508
sim_split_sym_mig_all	Round_1_Replicate_3	-1331.87	2677.74	1228356.03	41.61	0.2806,7.7929,0.967,0.3023,1.3881,2.5563,4.16
sim_split_sym_mig_all	Round_1_Replicate_4	-1358.72	2731.44	221372501.42	52.55	0.7082,2.552,0.8704,2.5715,5.2296,2.4496,3.3676
sim_split_sym_mig_all	Round_1_Replicate_5	-1026.29	2066.58	64136.41	79.56	0.3325,2.6105,0.319,2.3698,2.3993,0.2922,2.7938
sim_split_sym_mig_all	Round_2_Replicate_1	-996.52	2007.04	22211.2	86.5	0.3516,4.1801,0.1453,1.8845,2.5791,0.0896,1.6078
sim_split_sym_mig_all	Round_2_Replicate_2	-1249.3	2512.6	1601660.2	101.19	0.1546,1.5556,0.8293,4.811,5.4422,0.1726,0.9056
sim_split_sym_mig_all	Round_2_Replicate_3	-1015.29	2044.58	2767.53	154.87	0.1687,0.7159,0.0773,1.7926,1.4453,0.2627,10.6078
sim_split_sym_mig_all	Round_2_Replicate_4	-1189.81	2393.62	518602.41	94.54	0.2396,0.9985,0.6907,4.6087,4.0698,0.971,3.1049
sim_split_sym_mig_all	Round_2_Replicate_5	-1221.19	2456.38	3604046305.03	84.57	0.9,2.3886,0.2157,7.3114,5.6006,0.6207,0.8431
sim_split_sym_mig_all	Round_2_Replicate_6	-969.92	1953.84	12439.38	76.9	0.4139,4.7597,0.2713,0.6699,3.6219,0.2687,1.2334
sim_split_sym_mig_all	Round_2_Replicate_7	-1058.26	2130.52	277892.38	57.34	0.4768,3.8485,0.7211,1.6847,2.2319,0.3367,2.2604
sim_split_sym_mig_all	Round_3_Replicate_1	-960.44	1934.88	78525.39	83.56	0.443,3.0629,0.4434,0.3591,4.0391,0.4172,0.6198
sim_split_sym_mig_all	Round_3_Replicate_2	-880.65	1775.3	3237.85	84.15	0.4658,3.318,0.1801,0.5842,2.3624,0.2079,0.8627
sim_split_sym_mig_all	Round_3_Replicate_3	-1092.65	2199.3	37477.77	89.96	0.2641,4.1111,0.2435,0.5718,5.8277,0.2253,1.5474
sim_split_sym_mig_all	Round_3_Replicate_4	-931.84	1877.68	157225.79	67.24	0.6822,4.2102,0.3491,1.3451,2.4996,0.3296,1.1716
sim_split_sym_mig_all	Round_3_Replicate_5	-1007.51	2029.02	3686.83	80.84	0.3338,5.4606,0.1403,0.3721,1.9999,0.2321,0.8068
sim_split_sym_mig_all	Round_3_Replicate_6	-1060.27	2134.54	76722.68	84.37	0.3083,3.9574,0.3306,0.7571,5.0869,0.4627,1.1308
sim_split_sym_mig_all	Round_3_Replicate_7	-1061.31	2136.62	78988.04	78.02	0.3246,3.7141,0.4206,1.1044,4.292,0.1774,1.277
sim_split_sym_mig_all	Round_3_Replicate_8	-917.69	1849.38	314485.99	73.32	0.7549,2.4825,0.4132,0.5012,5.5547,0.4793,1.1701
sim_split_sym_mig_all	Round_3_Replicate_9	-913.35	1840.7	46137.42	75.27	0.5859,2.7026,0.3942,1.1505,3.1085,0.325,1.0833
sim_split_sym_mig_all	Round_3_Replicate_10	-866.9	1747.8	4144.45	73.09	0.6566,6.1538,0.1749,0.4385,2.226,0.1906,0.7316
