Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nuA, nu2a, nu3a, nu1b, nu2b, nu3b, T1, T2, T3)
split_no_mig_human	Round_1_Replicate_1	-2713.42	5446.84	1934296653.26	110.52	0.3183,3.6969,0.5764,4.4329,0.1589,0.1753,0.6555,0.2346,0.6927,0.9
split_no_mig_human	Round_1_Replicate_2	-1722.01	3464.02	93540955.44	33.85	2.2652,3.2417,0.3377,0.5023,4.6954,2.2859,0.5566,2.594,0.1981,1.0801
split_no_mig_human	Round_1_Replicate_3	-1790.94	3601.88	7330013.34	38.92	0.9374,0.1733,4.9213,4.558,2.2404,0.2936,1.3091,3.4938,0.8781,0.7351
split_no_mig_human	Round_1_Replicate_4	-1607.73	3235.46	126414.33	43.94	6.9092,0.4216,0.9305,2.7614,0.3142,1.2004,6.8739,0.2008,2.1461,0.376
split_no_mig_human	Round_1_Replicate_5	-1628.57	3277.14	10853242.01	43.84	5.1661,0.2361,0.3851,3.6898,2.6959,1.0666,0.3567,1.2772,0.2162,1.5803
split_no_mig_human	Round_2_Replicate_1	-1577.02	3174.04	58713.1	53.2	2.1459,0.1591,2.1374,8.5842,0.243,0.3035,8.4193,0.4604,0.9346,0.2078
split_no_mig_human	Round_2_Replicate_2	-1369.48	2758.96	44041.65	54.79	2.5081,0.7643,1.3198,1.2306,0.2866,0.5609,5.1875,0.1511,2.0164,0.1188
split_no_mig_human	Round_2_Replicate_3	-2703.61	5427.22	289311731.24	75.14	18.9328,1.2476,0.2453,3.3021,0.1372,0.2944,2.2588,0.6008,1.2392,0.5248
split_no_mig_human	Round_2_Replicate_4	-3082.46	6184.92	747321604.87	27.35	2.7366,0.3201,3.3409,9.6452,0.1595,0.4161,8.6673,0.5612,4.4954,1.1285
split_no_mig_human	Round_2_Replicate_5	-2560.62	5141.24	314347092.81	29.85	14.7414,0.2128,0.3166,10.9105,0.4731,0.5553,18.9328,0.3202,2.9804,0.4008
split_no_mig_human	Round_2_Replicate_6	-1335.06	2690.12	68879.86	28.1	11.0812,1.0714,1.0867,7.859,0.7525,0.9694,17.0147,0.2096,2.4595,0.1714
split_no_mig_human	Round_2_Replicate_7	-1589.1	3198.2	124452.38	33.15	8.4846,0.5915,2.926,4.3061,0.3921,2.7602,18.1036,0.1404,0.7774,1.1556
split_no_mig_human	Round_3_Replicate_1	-1733.97	3487.94	261379.49	39.7	19.7665,0.7519,0.78,4.3329,0.3799,0.5092,9.3778,0.1882,2.4564,0.3238
split_no_mig_human	Round_3_Replicate_2	-1139.68	2299.36	20248.79	36.36	9.7527,1.2308,1.4474,10.575,0.6006,1.0485,18.9328,0.1993,1.27,0.1398
split_no_mig_human	Round_3_Replicate_3	-1234.86	2489.72	20300.87	38.53	16.4414,0.6914,1.5217,6.4182,0.5795,0.7088,19.8,0.1822,1.4608,0.2443
split_no_mig_human	Round_3_Replicate_4	-1256.1	2532.2	58283.49	25.36	17.9778,0.662,1.2027,8.9993,1.3861,0.9221,11.3736,0.2987,2.2795,0.2519
split_no_mig_human	Round_3_Replicate_5	-1227.78	2475.56	26895.63	31.71	6.4985,0.5422,1.982,4.8023,0.9053,0.8803,17.2636,0.3451,2.1626,0.3105
split_no_mig_human	Round_3_Replicate_6	-1881.01	3782.02	2442661.43	29.26	9.7512,1.7367,0.6007,8.2097,0.5762,0.648,14.6473,0.34,3.0005,0.2519
split_no_mig_human	Round_3_Replicate_7	-1266.35	2552.7	43753.25	36.68	15.6861,0.6503,0.8888,10.6693,0.5577,1.1731,12.1654,0.2673,1.3784,0.1726
split_no_mig_human	Round_3_Replicate_8	-1300.93	2621.86	42300.57	21.96	16.3418,0.8435,2.0079,11.9702,0.4775,1.2117,18.9328,0.126,3.2951,0.1181
split_no_mig_human	Round_3_Replicate_9	-1238.64	2497.28	25186.53	34.63	7.5803,1.3495,1.9551,4.9883,0.9,0.5518,18.764,0.3802,1.7778,0.2998
split_no_mig_human	Round_3_Replicate_10	-1714.2	3448.4	2736841.5	26.93	6.0485,1.279,0.5558,5.2824,1.1866,0.9109,10.3097,0.1705,3.3056,0.1084
