Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2)
split_symmig_adjacent	Round_1_Replicate_1	-874.04	1766.08	566931.72	78.01	1.0702,0.4008,3.4098,0.6184,2.4062,1.755,0.3375,4.9529,0.2008
split_symmig_adjacent	Round_1_Replicate_2	-1207.58	2433.16	127845774.95	133.06	0.2728,0.2077,6.7384,6.3221,2.1311,1.8669,0.5706,0.9691,0.1377
split_symmig_adjacent	Round_1_Replicate_3	-753.9	1525.8	1146.47	180.22	0.4369,0.1986,0.2288,0.2006,4.2786,1.0185,4.2621,0.4829,0.1888
split_symmig_adjacent	Round_1_Replicate_4	-965.42	1948.84	6492337.44	108.04	1.0356,0.4506,0.3129,0.1866,7.6491,6.0133,2.0927,0.6471,3.8544
split_symmig_adjacent	Round_1_Replicate_5	-824.5	1667.0	44933.96	57.71	4.1666,0.5364,0.2864,0.4794,6.0735,1.7125,0.362,0.8333,1.5758
split_symmig_adjacent	Round_2_Replicate_1	-1025.15	2068.3	268429.05	128.07	1.2215,0.3153,0.0786,0.5796,10.934,0.539,9.5253,0.4505,0.109
split_symmig_adjacent	Round_2_Replicate_2	-839.9	1697.8	2689.71	241.52	0.5198,0.0656,0.0879,0.0604,1.4398,4.052,10.3701,0.8102,0.5698
split_symmig_adjacent	Round_2_Replicate_3	-671.03	1360.06	1087.66	176.19	0.4607,0.0878,0.3118,0.3776,3.6353,1.0276,1.4304,0.526,0.2473
split_symmig_adjacent	Round_2_Replicate_4	-1031.83	2081.66	3194.13	107.89	1.3142,0.4364,0.0899,0.0796,1.4525,0.3332,12.3429,1.7218,0.1467
split_symmig_adjacent	Round_2_Replicate_5	-824.13	1666.26	1228.07	259.22	0.2207,0.0993,0.104,0.2598,12.3316,3.2957,2.9478,0.2383,0.1884
split_symmig_adjacent	Round_2_Replicate_6	-824.25	1666.5	5644.36	205.27	0.4304,0.0759,0.0876,0.4274,6.2753,3.8921,1.5327,0.2822,0.2815
split_symmig_adjacent	Round_2_Replicate_7	-913.36	1844.72	153122.18	136.53	0.6875,0.5209,0.4987,0.088,2.7661,3.8072,10.0481,0.2926,0.6725
split_symmig_adjacent	Round_3_Replicate_1	-696.87	1411.74	2122.74	171.67	0.7959,0.0742,0.194,0.4793,6.4707,0.6318,2.2247,0.7496,0.2111
split_symmig_adjacent	Round_3_Replicate_2	-663.95	1345.9	1371.67	213.61	0.3898,0.0474,0.273,0.4525,5.5698,1.6226,1.6135,0.4653,0.2015
split_symmig_adjacent	Round_3_Replicate_3	-760.9	1539.8	1338.51	166.49	0.2801,0.1681,0.5515,0.4616,3.0957,1.0945,0.865,0.3029,0.1888
split_symmig_adjacent	Round_3_Replicate_4	-681.9	1381.8	1437.99	238.75	0.2809,0.0534,0.3162,0.3564,4.0945,1.0791,1.668,0.6317,0.202
split_symmig_adjacent	Round_3_Replicate_5	-688.3	1394.6	1678.7	139.96	0.5353,0.1274,0.6,0.746,3.8272,0.736,0.9213,0.4208,0.2067
split_symmig_adjacent	Round_3_Replicate_6	-665.01	1348.02	1274.77	125.8	0.6525,0.0891,0.4754,0.7386,5.6315,0.5955,1.0904,0.3898,0.4054
split_symmig_adjacent	Round_3_Replicate_7	-669.23	1356.46	2244.05	181.27	0.4254,0.0509,0.5488,0.3997,2.2978,1.7023,1.145,0.8902,0.2151
split_symmig_adjacent	Round_3_Replicate_8	-660.17	1338.34	1799.88	129.42	0.7013,0.0936,0.5126,0.7409,2.1294,0.6855,1.1817,0.7621,0.2746
split_symmig_adjacent	Round_3_Replicate_9	-716.76	1451.52	1752.6	151.48	0.8885,0.1087,0.2006,0.3683,3.7687,0.6566,2.2061,0.7261,0.1767
split_symmig_adjacent	Round_3_Replicate_10	-682.31	1382.62	1478.94	144.55	0.6302,0.0424,0.2758,0.5333,2.2221,1.4193,1.5613,0.3326,0.3922
