Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, T1, T2)
ancmig_2	Round_1_Replicate_1	-1220.9	2455.8	15573.13	120.22	0.2042,3.097,0.8658,0.129,0.3883,0.3615,0.2018
ancmig_2	Round_1_Replicate_2	-2090.19	4194.38	26871045.24	64.21	0.5663,1.815,0.4217,0.5108,0.4203,7.9477,1.966
ancmig_2	Round_1_Replicate_3	-1130.19	2274.38	29170.23	55.27	0.8744,7.2443,1.7272,0.5029,2.1578,1.1894,1.2506
ancmig_2	Round_1_Replicate_4	-1157.06	2328.12	12089.09	55.11	0.3885,5.5524,2.1174,5.7414,5.6612,4.2313,0.4031
ancmig_2	Round_1_Replicate_5	-2113.71	4241.42	9654826104.29	33.19	1.5984,0.4079,2.2846,0.4252,2.3634,7.7451,5.1365
ancmig_2	Round_2_Replicate_1	-1298.72	2611.44	16412.41	37.87	0.3958,9.1273,5.0586,0.5349,0.6,3.6643,0.549
ancmig_2	Round_2_Replicate_2	-2287.08	4588.16	4.81735731844e+14	39.61	0.4098,2.7754,2.4385,0.1975,1.1529,1.5157,4.499
ancmig_2	Round_2_Replicate_3	-2078.22	4170.44	47747052.71	32.25	0.5201,16.4557,3.5003,1.1512,0.7915,2.2182,3.772
ancmig_2	Round_2_Replicate_4	-936.34	1886.68	3486.25	54.64	0.553,5.8604,2.2371,0.7773,0.8398,1.5054,0.3416
ancmig_2	Round_2_Replicate_5	-1103.25	2220.5	8525.62	68.81	0.3801,14.7416,1.4529,0.9192,7.0573,2.8512,0.6669
ancmig_2	Round_2_Replicate_6	-713.33	1440.66	1849.66	44.86	1.548,2.2191,3.4043,1.0153,1.6557,1.2185,0.6116
ancmig_2	Round_2_Replicate_7	-1155.93	2325.86	22200.61	29.81	1.0273,15.3265,5.708,0.9472,0.9538,2.4022,1.6601
ancmig_2	Round_3_Replicate_1	-956.35	1926.7	6775.81	46.15	0.8088,4.1754,3.9578,1.4062,0.9773,0.6067,0.8661
ancmig_2	Round_3_Replicate_2	-692.18	1398.36	1814.65	52.04	1.4995,1.3317,3.3867,0.7788,3.1191,0.9648,0.4866
ancmig_2	Round_3_Replicate_3	-785.69	1585.38	3566.9	39.66	1.9275,1.9417,3.1921,0.6622,2.9933,1.7919,0.9828
ancmig_2	Round_3_Replicate_4	-781.07	1576.14	1753.36	54.73	0.8547,3.7179,2.53,0.651,1.6308,1.5088,0.3121
ancmig_2	Round_3_Replicate_5	-725.07	1464.14	2047.48	41.14	1.5464,3.5633,2.9277,1.5874,0.8853,1.7842,0.4184
ancmig_2	Round_3_Replicate_6	-793.89	1601.78	5652.39	40.66	2.7862,3.2387,2.2956,0.7273,1.5459,0.7236,1.1237
ancmig_2	Round_3_Replicate_7	-685.75	1385.5	1682.51	43.72	2.3311,1.3484,2.139,0.6952,1.6586,2.0598,0.6345
ancmig_2	Round_3_Replicate_8	-951.02	1916.04	8889.36	48.87	0.9146,1.2684,4.1162,0.8017,1.3004,0.647,0.977
ancmig_2	Round_3_Replicate_9	-940.24	1894.48	7804.11	57.88	0.9129,1.6339,1.8888,0.6967,1.8545,0.9358,0.9598
ancmig_2	Round_3_Replicate_10	-712.54	1439.08	1661.3	47.75	1.5096,1.8974,2.1796,1.222,1.8679,1.4907,0.5919
