Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2, T3)
refugia_1	Round_1_Replicate_1	-925.81	1869.62	2329.49	106.25	0.393,5.4947,0.3452,0.3741,2.6981,2.8056,1.8355,0.2543,1.6554
refugia_1	Round_1_Replicate_2	-992.72	2003.44	22983.83	63.52	0.51,0.4606,2.6224,3.3564,0.6405,0.1808,1.9335,0.3402,0.1335
refugia_1	Round_1_Replicate_3	-1355.69	2729.38	23532.78	44.36	0.1553,0.2163,4.4468,1.2082,3.7114,0.8829,5.6876,0.9126,0.1673
refugia_1	Round_1_Replicate_4	-1541.02	3100.04	19792.52	43.44	0.2069,0.1382,6.3618,0.1409,0.1811,2.1626,2.6418,3.8496,1.6921
refugia_1	Round_1_Replicate_5	-1037.84	2093.68	61145.16	49.51	1.7753,5.1415,0.191,1.2141,0.3783,6.0102,2.9039,2.9578,4.8219
refugia_1	Round_2_Replicate_1	-909.36	1836.72	2520.38	79.0	0.5304,13.9498,1.1641,0.1409,0.7842,1.7426,1.224,0.5761,2.16
refugia_1	Round_2_Replicate_2	-1095.47	2208.94	20761.25	173.76	0.1546,5.8798,0.419,0.1591,5.263,10.5208,4.5385,0.492,1.8591
refugia_1	Round_2_Replicate_3	-916.22	1850.44	34875.58	86.09	0.9474,18.1354,0.3945,0.404,2.2053,5.5417,0.5801,0.2934,2.6489
refugia_1	Round_2_Replicate_4	-1078.66	2175.32	3637.13	84.98	0.22,1.5708,1.2412,0.2449,1.427,0.8016,1.4017,0.6583,1.9143
refugia_1	Round_2_Replicate_5	-1151.63	2321.26	174805914.91	72.05	0.9144,2.5512,0.5534,0.4112,8.0115,0.7264,0.8132,0.9755,4.0869
refugia_1	Round_2_Replicate_6	-857.85	1733.7	1485.73	77.23	0.9706,13.2493,0.1953,0.5611,1.1152,1.1177,1.4956,0.1948,0.6562
refugia_1	Round_2_Replicate_7	-1027.5	2073.0	5780196.91	76.08	1.0582,2.8323,0.297,0.4803,5.4684,1.3305,6.228,0.5987,3.4149
refugia_1	Round_3_Replicate_1	-936.69	1891.38	1706.96	75.32	0.5727,16.7707,0.2568,0.7946,1.6424,1.5472,1.9069,0.1548,0.759
refugia_1	Round_3_Replicate_2	-852.95	1723.9	1613.45	90.95	0.5638,13.2817,0.2637,0.6928,1.8037,0.6716,0.7954,0.1049,0.3653
refugia_1	Round_3_Replicate_3	-1031.84	2081.68	2338.45	74.72	0.8349,18.8388,0.1285,0.3564,1.6702,0.7038,2.7868,0.2501,0.6384
refugia_1	Round_3_Replicate_4	-846.3	1710.6	1836.86	68.1	1.3426,9.8208,0.3138,0.2858,1.1829,0.6509,1.8844,0.1958,0.8112
refugia_1	Round_3_Replicate_5	-911.25	1840.5	2444.83	59.24	1.9153,18.8388,0.1495,0.5989,0.8343,0.8264,1.9761,0.2997,1.2619
refugia_1	Round_3_Replicate_6	-895.16	1808.32	1702.24	83.92	0.768,7.9024,0.1689,0.9475,0.9654,0.8987,0.7869,0.315,1.2085
refugia_1	Round_3_Replicate_7	-987.31	1992.62	2008.3	94.49	0.4865,15.945,0.1372,0.9859,1.0495,1.2817,0.9498,0.2398,0.8851
refugia_1	Round_3_Replicate_8	-849.36	1716.72	2652.05	78.07	0.9105,9.9203,0.2996,0.5343,1.6499,2.0439,1.4902,0.3144,1.1862
refugia_1	Round_3_Replicate_9	-1040.33	2098.66	2143.71	81.14	0.5398,14.0278,0.1921,0.3099,2.2262,0.5598,2.8658,0.1252,0.6901
refugia_1	Round_3_Replicate_10	-863.6	1745.2	2630.58	80.62	0.6844,9.2202,0.3189,0.5393,2.1603,0.7517,1.3389,0.204,0.4318
