Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1a, T1b, T2)
refugia_3	Round_1_Replicate_1	-1356.29	2732.58	12250.19	58.83	0.1674,1.0286,5.6798,0.1336,0.2986,1.5556,0.4188,1.1753,2.4736,5.7563
refugia_3	Round_1_Replicate_2	-973.48	1966.96	4076.1	70.1	0.5557,1.2218,0.566,0.7246,0.4855,2.1685,1.9768,3.4698,2.5473,0.1541
refugia_3	Round_1_Replicate_3	-982.84	1985.68	64833.69	101.92	0.6361,0.2118,0.8114,0.1583,2.8654,2.5146,0.1446,0.2554,0.3382,1.069
refugia_3	Round_1_Replicate_4	-1182.75	2385.5	863268962.47	27.42	2.5476,0.7411,3.8819,5.6946,0.3062,1.0445,2.5165,3.5721,0.1397,1.2139
refugia_3	Round_1_Replicate_5	-1216.1	2452.2	1601835559.17	34.52	2.3305,1.2596,4.4951,2.0406,3.5945,3.5882,0.6201,1.8779,5.7026,0.4119
refugia_3	Round_2_Replicate_1	-1092.8	2205.6	169680.01	73.79	0.5531,0.901,1.2733,0.6565,0.3205,3.5626,2.1702,2.8462,0.7481,0.1045
refugia_3	Round_2_Replicate_2	-1323.65	2667.3	9890401.82	31.89	0.8924,4.4197,1.2959,1.3768,0.197,2.7837,5.5834,4.0797,6.7549,0.2458
refugia_3	Round_2_Replicate_3	-1252.74	2525.48	1695279.68	39.78	0.6958,1.3927,1.3846,1.3061,0.6716,3.4857,0.5922,10.0586,1.3851,0.2167
refugia_3	Round_2_Replicate_4	-1155.8	2331.6	30278219.62	37.37	2.1696,0.6567,0.9512,1.4917,0.4976,1.0616,5.8435,8.0347,0.8176,0.1587
refugia_3	Round_2_Replicate_5	-1298.37	2616.74	285905634.02	65.3	0.9462,0.7799,1.5545,1.8484,1.8692,4.4132,4.6745,11.8523,10.138,0.2232
refugia_3	Round_2_Replicate_6	-914.31	1848.62	6696.67	58.88	1.1831,2.3894,0.2434,0.6907,0.2115,2.0376,3.7281,0.9225,2.1207,0.155
refugia_3	Round_2_Replicate_7	-950.26	1920.52	2196.22	51.71	0.5858,3.5757,0.4976,0.6301,0.763,1.2349,0.6015,8.7409,9.7238,0.127
refugia_3	Round_3_Replicate_1	-904.41	1828.82	5818.83	62.34	1.2165,2.0549,0.1848,1.0252,0.1328,1.1499,4.1984,0.8053,1.7674,0.157
refugia_3	Round_3_Replicate_2	-940.02	1900.04	7550.06	65.58	0.8141,2.2065,0.3102,0.3877,0.3159,2.8992,1.9096,0.5497,3.6953,0.1955
refugia_3	Round_3_Replicate_3	-859.42	1738.84	4027.72	69.35	1.3113,1.2845,0.2567,0.5708,0.1326,1.8529,2.968,0.6844,1.772,0.2489
refugia_3	Round_3_Replicate_4	-1001.55	2023.1	101549.09	53.56	1.5506,2.0359,0.185,0.8703,0.2734,3.3713,3.1255,1.0756,2.6605,0.1284
refugia_3	Round_3_Replicate_5	-916.02	1852.04	16282.94	71.66	0.7219,2.2576,0.3797,1.055,0.2304,1.4567,3.8714,0.7581,1.1348,0.2656
refugia_3	Round_3_Replicate_6	-998.74	2017.48	15636.49	44.24	1.6893,2.521,0.1861,1.0515,0.1745,2.3282,3.6898,1.4711,3.8148,0.1324
refugia_3	Round_3_Replicate_7	-992.48	2004.96	14604.22	62.57	1.1302,1.8119,0.1862,0.5575,0.2002,3.1209,4.9819,0.769,2.9634,0.1372
refugia_3	Round_3_Replicate_8	-986.32	1992.64	532378.75	48.31	1.9093,4.0157,0.193,0.8098,0.2703,2.8713,2.6892,1.1353,1.7479,0.2103
refugia_3	Round_3_Replicate_9	-983.05	1986.1	3185.85	53.2	0.8188,3.89,0.3235,0.3803,0.1154,2.3166,3.9255,1.6015,2.8714,0.1982
refugia_3	Round_3_Replicate_10	-1047.61	2115.22	85083.98	46.99	1.3779,4.648,0.2421,0.4473,0.2328,2.8888,4.572,0.8297,4.1722,0.2655
