Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, m3, T1, T2)
sim_split_refugia_sym_mig_all	Round_1_Replicate_1	-993.84	2003.68	9376.91	52.36	1.6145,0.1867,4.8805,0.6627,0.4804,0.3708,1.239,0.1426
sim_split_refugia_sym_mig_all	Round_1_Replicate_2	-995.58	2007.16	748425.8	52.06	0.8676,1.3475,2.0839,0.3521,0.5204,1.4718,0.2603,1.713
sim_split_refugia_sym_mig_all	Round_1_Replicate_3	-1294.5	2605.0	13799511.52	64.35	0.4807,7.2691,0.2495,0.1291,6.9197,6.4145,1.1164,0.34
sim_split_refugia_sym_mig_all	Round_1_Replicate_4	-1434.08	2884.16	9972476024.48	28.81	2.0947,4.747,0.1439,5.7389,0.6947,0.6169,7.8526,3.5217
sim_split_refugia_sym_mig_all	Round_1_Replicate_5	-1181.74	2379.48	412343255.16	44.8	1.6338,2.6332,0.4713,0.7981,0.2518,4.6227,0.1949,3.1872
sim_split_refugia_sym_mig_all	Round_2_Replicate_1	-895.53	1807.06	158496.26	38.17	3.6994,0.6526,5.3985,0.7147,0.1189,0.6303,1.3384,0.1054
sim_split_refugia_sym_mig_all	Round_2_Replicate_2	-976.58	1969.16	95153669.88	44.74	5.2157,0.5331,4.6777,1.0214,0.1279,0.0979,0.4145,0.5303
sim_split_refugia_sym_mig_all	Round_2_Replicate_3	-1074.15	2164.3	3852.73	96.52	0.3996,0.1557,2.3673,1.9301,0.2021,0.8127,0.6139,0.1241
sim_split_refugia_sym_mig_all	Round_2_Replicate_4	-1040.9	2097.8	6537.06	29.17	2.2163,0.1978,11.4955,0.8609,1.0071,0.2343,3.088,0.1054
sim_split_refugia_sym_mig_all	Round_2_Replicate_5	-1191.49	2398.98	52360.19	60.36	0.9844,0.1806,1.2743,0.2222,0.1839,0.115,2.8127,0.122
sim_split_refugia_sym_mig_all	Round_2_Replicate_6	-1153.89	2323.78	10876.03	51.42	1.6358,0.0757,1.4157,0.8207,0.55,0.1833,3.0909,0.1127
sim_split_refugia_sym_mig_all	Round_2_Replicate_7	-1428.61	2873.22	3.04777027442e+11	34.97	5.3801,0.6046,17.2304,0.9477,0.6423,1.381,0.7751,0.4048
sim_split_refugia_sym_mig_all	Round_3_Replicate_1	-877.2	1770.4	35683.94	41.38	2.4787,0.4436,4.4729,0.9697,0.2124,0.389,1.6404,0.1738
sim_split_refugia_sym_mig_all	Round_3_Replicate_2	-1075.99	2167.98	1605412.62	34.22	6.7672,0.3233,5.442,0.6879,0.0692,0.5294,1.3602,0.1054
sim_split_refugia_sym_mig_all	Round_3_Replicate_3	-814.42	1644.84	194735.56	31.88	4.4049,1.2244,4.7373,1.1643,0.1673,0.6337,1.7401,0.1032
sim_split_refugia_sym_mig_all	Round_3_Replicate_4	-934.29	1884.58	1521403.02	32.11	5.8055,1.0818,4.6655,0.4096,0.1072,1.1959,1.4607,0.1032
sim_split_refugia_sym_mig_all	Round_3_Replicate_5	-908.61	1833.22	111666.99	28.64	4.5729,0.8662,5.1921,0.4874,0.1566,0.8651,2.4064,0.1054
sim_split_refugia_sym_mig_all	Round_3_Replicate_6	-924.96	1865.92	210744.97	30.15	4.6485,0.4883,4.1778,1.0961,0.0658,0.4361,2.6024,0.1683
sim_split_refugia_sym_mig_all	Round_3_Replicate_7	-977.73	1971.46	1231701.22	41.21	5.5842,0.4015,4.4883,0.5092,0.2272,0.4267,0.9479,0.1376
sim_split_refugia_sym_mig_all	Round_3_Replicate_8	-1068.31	2152.62	29192963.03	40.68	5.4239,0.4568,4.2991,1.0956,0.0775,1.2645,1.0288,0.1021
sim_split_refugia_sym_mig_all	Round_3_Replicate_9	-897.62	1811.24	1055310.12	32.81	5.0758,1.2927,3.4869,0.4629,0.0712,1.2592,1.5716,0.1185
sim_split_refugia_sym_mig_all	Round_3_Replicate_10	-777.89	1571.78	188976.08	49.89	2.8305,0.9518,2.5363,0.6463,0.1688,0.5421,0.7801,0.1794
