Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, T1, T2)
split_no_mig	Round_1_Replicate_1	-696.23	1404.46	1950.36	77.61	1.5281,1.5899,0.9708,0.401,0.4331,0.2037
split_no_mig	Round_1_Replicate_2	-2882.81	5777.62	2.05660991641e+13	30.39	0.6344,3.7562,3.5448,0.4978,0.5931,6.179
split_no_mig	Round_1_Replicate_3	-1334.39	2680.78	120239.38	55.31	6.0654,0.2965,0.1571,0.5968,0.6891,0.2931
split_no_mig	Round_1_Replicate_4	-1700.97	3413.94	6.9767565058e+11	19.31	0.2536,1.6769,6.8316,2.6353,3.4295,4.2163
split_no_mig	Round_1_Replicate_5	-2955.21	5922.42	1.76828723567e+12	105.9	0.1923,0.1477,0.1803,3.8741,1.4332,0.5112
split_no_mig	Round_2_Replicate_1	-813.96	1639.92	2935.75	100.24	0.5985,1.1773,1.0351,0.6787,0.2813,0.1523
split_no_mig	Round_2_Replicate_2	-842.61	1697.22	2761.11	90.42	0.5396,3.2742,2.5241,0.2393,0.2454,0.107
split_no_mig	Round_2_Replicate_3	-676.28	1364.56	2445.21	56.6	3.267,3.5103,1.0444,0.2659,0.6483,0.1133
split_no_mig	Round_2_Replicate_4	-884.74	1781.48	167776.74	82.28	5.9994,1.4645,0.2916,0.7151,0.1413,0.1101
split_no_mig	Round_2_Replicate_5	-870.41	1752.82	7169.26	64.25	2.6699,1.1234,0.6637,0.187,0.8993,0.2384
split_no_mig	Round_2_Replicate_6	-685.29	1382.58	2320.22	72.67	1.8044,0.5658,1.4271,1.3328,0.1272,0.332
split_no_mig	Round_2_Replicate_7	-691.26	1394.52	1863.58	110.89	1.4109,0.7216,0.5886,0.1788,0.1037,0.107
split_no_mig	Round_3_Replicate_1	-739.73	1491.46	2896.39	53.65	3.5249,2.4328,0.7193,0.1918,0.9758,0.1039
split_no_mig	Round_3_Replicate_2	-672.1	1356.2	6165.39	56.14	3.8336,5.088,1.0779,0.3143,0.5194,0.1318
split_no_mig	Round_3_Replicate_3	-697.65	1407.3	2075.98	59.31	2.3179,6.0907,0.6278,0.2196,0.7645,0.1039
split_no_mig	Round_3_Replicate_4	-707.11	1426.22	3737.61	41.48	5.774,3.1898,2.1069,0.3566,0.9321,0.127
split_no_mig	Round_3_Replicate_5	-691.14	1394.28	2965.86	62.31	3.2304,2.3981,1.544,0.1703,0.4933,0.107
split_no_mig	Round_3_Replicate_6	-710.05	1432.1	2621.13	53.16	3.5046,2.6951,0.799,0.4134,0.8531,0.127
split_no_mig	Round_3_Replicate_7	-662.82	1337.64	2454.19	61.14	3.4995,1.9552,1.6082,0.3107,0.3913,0.2069
split_no_mig	Round_3_Replicate_8	-665.26	1342.52	2373.82	68.62	2.8517,3.1119,0.8156,0.3288,0.3797,0.1667
split_no_mig	Round_3_Replicate_9	-747.44	1506.88	3202.16	45.5	4.6318,3.0239,0.7624,0.1849,1.1648,0.101
split_no_mig	Round_3_Replicate_10	-697.61	1407.22	38542.75	60.51	4.3561,6.0994,0.9191,0.285,0.393,0.1133
