Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, m3, T1, T2)
split_symmig_all	Round_1_Replicate_1	-1095.96	2211.92	3677.97	61.79	0.3276,3.7082,2.2562,0.1759,0.841,0.3899,0.7926,0.1299,1.5116,7.3745
split_symmig_all	Round_1_Replicate_2	-877.62	1775.24	4033.31	121.0	0.5102,0.4482,0.3232,0.5337,0.7796,0.1269,3.0218,0.5599,6.0233,0.171
split_symmig_all	Round_1_Replicate_3	-946.8	1913.6	2741.56	55.78	3.8182,1.5081,0.1703,0.1651,1.1844,0.2019,5.0331,0.1407,1.5481,0.2564
split_symmig_all	Round_1_Replicate_4	-1076.09	2172.18	12204.28	116.79	0.1333,7.5543,1.2415,0.3313,0.1585,4.8935,0.646,0.4786,3.8419,5.8034
split_symmig_all	Round_1_Replicate_5	-871.31	1762.62	153029.38	101.34	0.6201,0.2259,0.8344,0.2239,0.6243,3.0014,0.8442,0.1511,1.4591,0.9272
split_symmig_all	Round_2_Replicate_1	-830.6	1681.2	283811.15	123.82	0.6315,0.1087,0.5168,0.8027,1.8769,3.6475,1.7217,0.0634,0.4553,0.3401
split_symmig_all	Round_2_Replicate_2	-1237.5	2495.0	85328420.95	94.1	0.446,0.0708,0.92,0.147,0.345,7.474,0.361,0.0388,3.2636,2.7447
split_symmig_all	Round_2_Replicate_3	-929.87	1879.74	5420.52	103.93	0.3327,0.2378,2.8541,0.1252,1.5188,1.4476,1.7436,0.1714,2.489,0.7847
split_symmig_all	Round_2_Replicate_4	-929.18	1878.36	9879.6	72.48	0.5394,0.096,1.2258,0.2833,0.2034,1.9422,0.5907,0.101,3.359,3.6275
split_symmig_all	Round_2_Replicate_5	-1178.53	2377.06	10694.1	104.96	0.2041,0.0892,2.0319,0.0783,2.276,1.3312,0.2279,0.05,1.3,1.4957
split_symmig_all	Round_2_Replicate_6	-958.59	1937.18	462445.73	98.02	0.5752,0.8408,1.4275,0.145,0.1752,3.0904,0.4774,0.1775,0.5633,0.3555
split_symmig_all	Round_2_Replicate_7	-1175.73	2371.46	95346.46	153.7	0.1982,0.2129,0.6081,0.0768,1.5727,6.5223,0.3459,0.1725,0.38,2.1176
split_symmig_all	Round_3_Replicate_1	-720.42	1460.84	3161.87	151.47	0.4504,0.0758,0.375,0.566,1.973,2.5037,0.9819,0.0826,0.7429,0.4305
split_symmig_all	Round_3_Replicate_2	-958.03	1936.06	535858281.22	105.4	1.1486,0.0618,0.6284,0.5505,1.5749,6.1163,1.026,0.0854,0.843,0.4111
split_symmig_all	Round_3_Replicate_3	-926.53	1873.06	6854513.1	103.32	1.1884,0.1649,0.6754,0.7279,1.6647,3.4269,3.4086,0.0543,0.259,0.2379
split_symmig_all	Round_3_Replicate_4	-770.85	1561.7	40570.34	150.66	0.6419,0.0841,0.5175,0.6174,2.4315,2.8936,2.5357,0.0507,0.7703,0.177
split_symmig_all	Round_3_Replicate_5	-828.91	1677.82	214517.81	135.53	0.5356,0.0544,0.3615,0.9027,1.7129,4.3332,1.0202,0.0797,0.2585,0.3897
split_symmig_all	Round_3_Replicate_6	-862.75	1745.5	354842.64	140.55	0.4569,0.1682,0.402,0.4697,1.0331,5.206,1.3395,0.0327,0.8888,0.4069
split_symmig_all	Round_3_Replicate_7	-933.26	1886.52	541008.7	113.54	0.4916,0.1833,0.8963,1.25,2.2487,3.7772,1.83,0.048,0.2854,0.2852
split_symmig_all	Round_3_Replicate_8	-838.44	1696.88	14854793.85	103.33	1.266,0.0544,0.5402,0.465,3.1266,3.5418,2.1087,0.0317,0.5041,0.6047
split_symmig_all	Round_3_Replicate_9	-831.16	1682.32	71539.78	106.59	0.7587,0.144,0.6184,0.7451,0.9955,2.2359,3.3252,0.1052,0.2446,0.4211
split_symmig_all	Round_3_Replicate_10	-872.2	1764.4	6051225.17	135.33	0.5601,0.06,0.6788,0.4132,3.3401,5.1826,1.3743,0.0367,0.327,0.3743
