#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.Lflavomaculatus_thinned" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.Lflavomaculatus_thinned" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.Lflavomaculatus_thinned" spec="snap.Data">
#                    <taxonset id="North" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T2641" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T4923" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3432" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T4101" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="South" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T3198" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3107" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3081" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3191" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Moz" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T4606" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3419" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T3416" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Taratibu" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T5628" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T5631" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="T5621" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="u" lower="0.0" name="x">1.4698153755983197</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.Lflavomaculatus_thinned" name="distribution">
#            <parameter id="v" lower="0.0" name="x">0.7577810233682515</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.Lflavomaculatus_thinned" id="treeLikelihood.Lflavomaculatus_thinned" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.Lflavomaculatus_thinned">
#            <siteModel id="MutationSiteModel.Lflavomaculatus_thinned" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	TreeHeightLogger
0	-77651.06269524618	-77507.12336228396	-143.93933296221198	1.4698153755983197	0.7577810233682515	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.4217085273007668
1000	-68972.82912023464	-68661.5528823247	-311.27623790993914	1.3675289541104325	0.7881748197745757	1.5060572490365685	1.2009356785054761	0.7899560025613616	0.9802353764597299	1.0787498839673886	1.037516621107626	0.5818478712267982	0.2819227432210684
2000	-68957.71744322695	-68663.95425968555	-293.76318354140125	1.3792127118384732	0.7843452973709159	1.5674518737193797	1.215083436656867	0.7643218362526887	0.9922282980553275	1.1542420837091032	1.1461964652189929	0.6539001387583201	0.272953606166734
3000	-68951.80805812847	-68679.25016693036	-272.55789119810726	1.3656886675006987	0.7887874236840443	1.5241656763069076	1.1324406272337362	0.7539107989390291	1.0523408677147823	1.1476582916270268	1.1349454336175522	0.6931206790337575	0.2521557149503271
4000	-68950.41290787388	-68696.28415413074	-254.12875374313475	1.374182926427927	0.7859813346178541	1.4540690661163067	1.1272459540460977	0.7411211275348053	1.0224576089467072	1.1356600961922334	1.1925677625003102	0.7563190146348063	0.22331626971011703
5000	-68949.19984756077	-68701.54350008022	-247.65634748055012	1.3823117525335258	0.7833465600816653	1.448857724166118	1.1809188926875311	0.7835428846550909	1.0859970689456133	1.1914460274955303	1.2188405856379838	0.777712113753093	0.23370587988608624
6000	-68948.22259518658	-68670.35716831019	-277.86542687640014	1.3751854421925591	0.785653745992035	1.5206846319401788	1.26178726378083	0.7907547055008016	1.0668502208455906	1.2043685733644793	1.2009322481264233	0.720106411199627	0.24265261288593137
7000	-68948.38753482053	-68698.60915944177	-249.77837537876093	1.3821119095962786	0.7834107524003605	1.430689342266246	1.1613085376176422	0.7813644767373757	1.0264046523129509	1.1258874119067714	1.1510917443945121	0.7620711514684372	0.2322009447052048
8000	-68948.43255604434	-68678.99463701638	-269.4379190279588	1.3697562942693664	0.7874368390860695	1.5542565558042643	1.184840214488369	0.7791467543664232	1.0696880228675856	1.16386776780206	1.1267834988017307	0.7623883981068598	0.2380204124827581
9000	-68950.32263380478	-68679.92312327445	-270.3995105303398	1.3743570837469292	0.785924371915261	1.4948967141767395	1.1697307481341104	0.7438356663595126	1.0662499042675337	1.1769017457765856	1.1659469270282983	0.6786517204021892	0.2581168885439
10000	-68950.62442183132	-68672.07746497625	-278.54695685507306	1.3762165167654508	0.7853176072540539	1.4698298110418555	1.2308535418625828	0.7987830943794298	1.0619757567709749	1.1446009028977842	1.142729967626836	0.6663617632842963	0.2570187467391187
11000	-68955.34995456914	-68659.67521877488	-295.6747357942619	1.3797699289422882	0.7841652024871603	1.572194538953351	1.2901799021624083	0.7659760292477188	1.0917566610529232	1.2025967186661939	1.1325795066198925	0.6867717491691215	0.256869228779536
12000	-68953.84469154845	-68660.74967923589	-293.0950123125629	1.3726221802685135	0.7864928323539437	1.557899818571811	1.125227294287939	0.7583274939985857	0.9911359524821689	1.1163366028924029	1.1060740739101902	0.647949823894197	0.2521174345119427
13000	-68952.57911365609	-68684.48977463256	-268.08933902353084	1.365299869399927	0.7889171821710448	1.4607775118799922	1.252253013357803	0.7427524278938151	1.158614884347131	1.2286596500314322	1.1715481042666045	0.6953786544935466	0.2490321035063573
14000	-68949.3583179115	-68671.43816123466	-277.9201566768267	1.3726763197118437	0.7864750587967708	1.5030747387948025	1.2085794125893152	0.7920025223623589	1.1028016696470029	1.1993899809467867	1.1305170974184422	0.6988667673268024	0.24288479186438922
15000	-68948.53565150674	-68707.82249399091	-240.71315751582964	1.3730200525697138	0.7863622654074565	1.4479900473686345	1.1353673661497543	0.7771820801106066	1.0700387891495362	1.180922940109616	1.1968679082589673	0.8076284806770153	0.22455424899247028
